run IMDB with vanilla postgres
1: time consumption: 4103.339000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
2: time consumption: 3917.447000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
0: time consumption: 627257.513000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
1: time consumption: 626918.077000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
2: time consumption: 641183.934000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
0: time consumption: 4733.662000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
1: time consumption: 3807.965000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
2: time consumption: 3660.578000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
0: time consumption: 3568.514000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
1: time consumption: 3541.113000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
2: time consumption: 3357.421000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
0: time consumption: 594680.714000 ms
1: time consumption: 574002.007000 ms
2: time consumption: 564717.553000 ms
0: time consumption: 407358.476000 ms
1: time consumption: 408911.125000 ms
2: time consumption: 407983.508000 ms
0: time consumption: 452236.344000 ms
1: time consumption: 451038.492000 ms
2: time consumption: 451987.937000 ms
0: time consumption: 411297.081000 ms
1: time consumption: 428137.067000 ms
2: time consumption: 410465.392000 ms
0: time consumption: 203294.591000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
1: time consumption: 157951.668000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
2: time consumption: 157049.579000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
0: time consumption: 618700.002000 ms
1: time consumption: 629296.300000 ms
2: time consumption: 628147.266000 ms
0: time consumption: 872552.863000 ms
1: time consumption: 876715.414000 ms
2: time consumption: 886080.305000 ms
0: time consumption: 971700.264000 ms
1: time consumption: 298319.617000 ms
2: time consumption: 970383.947000 ms
0: time consumption: 118750.947000 ms
1: time consumption: 129493.826000 ms
2: time consumption: 125860.664000 ms
0: time consumption: 174578.184000 ms
1: time consumption: 171153.613000 ms
2: time consumption: 177080.906000 ms
0: time consumption: 766881.719000 ms
1: time consumption: 760773.066000 ms
2: time consumption: 763703.732000 ms
0: time consumption: 757852.284000 ms
1: time consumption: 755722.938000 ms
2: time consumption: 759698.860000 ms
0: time consumption: 656036.460000 ms
1: time consumption: 662689.571000 ms
2: time consumption: 651663.729000 ms
0: time consumption: 808766.855000 ms
1: time consumption: 809606.553000 ms
2: time consumption: 821412.779000 ms
0: time consumption: 176948.505000 ms
1: time consumption: 174195.294000 ms
2: time consumption: 163609.816000 ms
0: time consumption: 816013.765000 ms
1: time consumption: 812436.226000 ms
2: time consumption: 817181.278000 ms
0: time consumption: 173034.992000 ms
1: time consumption: 174537.321000 ms
2: time consumption: 221137.461000 ms
0: time consumption: 14033.574000 ms
1: time consumption: 14556.662000 ms
2: time consumption: 16278.183000 ms
0: time consumption: 695333.844000 ms
1: time consumption: 698482.555000 ms
2: time consumption: 690746.970000 ms
0: time consumption: 73574.647000 ms
1: time consumption: 77260.378000 ms
2: time consumption: 69973.658000 ms
0: time consumption: 351549.912000 ms
1: time consumption: 329097.439000 ms
2: time consumption: 337915.367000 ms
0: time consumption: 736485.932000 ms
1: time consumption: 748265.796000 ms
2: time consumption: 729567.235000 ms
0: time consumption: 82904.712000 ms
1: time consumption: 302464.643000 ms
